Chinese,cpp
包括,#include
包含,#include
括,#include
包,#include
包罗,#include
输入输出,iostream
控制台输入输出,iostream
标准输入输出,iostream
文件输入输出,fstream
运用,using
用,using
使用,using
利用,using
命名空间,namespace
标准库,std
整数,int
数,int
号码,int
号,int
主要,main
主,main
主干,main
正,main
接受输入,cin
输入,cin
接受控制台输入,cin
控制台输入,cin
接受标准输入输出,cin
标准输入输出,cin
从,for
串,string
弦,string
线,string
绳,string
绳子,string
字符,char
字母,char
字母字符,char
浮点,float
浮点数,float
十进制,float
小数点,float
浮点数字,float
双,double
浮点,double
浮点数,double
十进制,double
小数点,double
浮点数字,double
如果,if
是否,if
如,if
假如,if
要是,if
若是,if
倘若,if
假若,if
倘,if
要,if
假使,if
否则,else
除此以外,else
不然,else
要不然,else
不然的话,else
要不,else
真正,true
真,true
真实,true
属实,true
确实,true
实,true
假,false
虚假,false
讹,false
而,while
正在,while
直到,while
一直到,while
做,do
办,do
进行,do
搞,do
弄,do
开关,switch
交换机,switch
断路器,switch
交换器,switch
输出,cout
控制台输出,cout
标准输出,cout
文件流,fstream
文件溪,fstream
文件溪流,fstream
文件河流,fstream
输入文件流,ifstream
输入文件溪,ifstream
输入文件溪流,ifstream
输入文件河流,ifstream
输出文件流,ofstream
输出文件溪,ofstream
输出文件溪流,ofstream
输出文件河流,ofstream
打开,open
开,open
关闭,close
关,close
封闭,close
关上,close
返回值,return
返回,return
退回,return
回,return
退还,return
类,class
阶级,class
类型,class
种类,class
用户定义的数据类型,class
类,struct
阶级,struct
类型,struct
种类,struct
用户定义的数据类型,struct
私人的,private
私人,private
私营,private
私有,private
私,private
私立,private
公共,public
公众,public
公开,public
公,public
保护,protected
防护,protected
向量,vector
动态数组,vector
别号,typedef
新名字,typedef
其他名字,typedef
用户指定的名称,typedef
对,pair
双,pair
一对,pair
组,set
集,set
集合,set
一套,set
套,set
多集,multiset
堆,stack
先排在后面,stack
先进后出,stack
队列,queue
先进先出,queue
优先队列,priority_queue
地图,map
图,map
字典,map
词典,map
辞典,map
辞书,map
无序的地图,unordered_map
无序的图,unordered_map
无序的字典,unordered_map
无序的词典,unordered_map
无序的辞典,unordered_map
无序的辞书,unordered_map
算法,algorithm
分类,sort
类,sort
捃,sort
整理,sort
找,find
寻找,find
找,find
搜寻,find
搜索,find
发觉,find
薮,find
极少,min
最低,min
最低限度,min
最小值,min
最大值,max
最大,max
极大,max
数学,math.h
数学头文件,math.h
数学,cmath
数学头文件,cmath
反余弦,acos
反正弦,asin
反正切,atan
反正切,atan2
天花板,ceil
顶棚,ceil
潼,ceil
最小数量大于,ceil
余弦,cos
双曲余弦,cosh
加,+
减,-
乘,*
除,/
除,div
除,ldiv
加法,+
减法,-
乘法,*
除法,/
除法,div
除法,ldiv
指数,exp
绝对值,abs
绝对值,fabs
绝对值,labs
地板,floor
地面,floor
地,floor
最大数量少于,floor
模,%
模,fmod
大数,long
大的数,long
长,long
长数,long
大数,long long
大的数,long long
长长,long long
长长数,long long
对数,log
对数,log10
基数10对数,log10
分解,frexp
重建,ldexp
分解,modf
分解数,frexp
重建数,ldexp
分解数,modf
分解数字,frexp
重建数字,ldexp
分解数字,modf
指数,pow
正弦,sin
双曲正弦,sinh
平方根,sqrt
随机,rand
任意,rand
切线,tan
双曲正切,tanh
底线,endl
新队,endl
新线,endl
回车,endl
保留,reserve
保持,reserve
预约,reserve
留,reserve
等于,==
等同,==
相当,==
相等,==,
改名,rename
