Indonesian, python
impor, import
dari, from
benar, True
salah, False
dengan, with
buka, open
dan, and
kelas, class
kembali, return
berhenti, break
lanjut, continue
untuk, for
jika, if
lalu, then
jarak, range
dalam, in
atau, or
kecuali, except
tidak, not
cetak, print
baca, read
tulis, write
tutup, close
fungsi, def
panjang, len
akhirnya, finally
StopIterasi, StopIteration
IndeksError, IndexError
SistemError, SystemError
lokal, locals
bits, bytes
jumlah, sum
maks, max
min, min
ketika, while
saat, while
